form_id	section_order	section_title	q_order	q_title	q_type	required	options	help_text																	
conf_interest	1	About you	1	Full Name	SHORT_TEXT	TRUE																			
conf_interest	1	About you	2	Preferred contact email	SHORT_TEXT	TRUE																			
conf_interest	1	About you	3	Brief bio	PARAGRAPH	FALSE		2–3 sentences about your background.																	
conf_interest	1	About you	4	Primary role	SINGLE_CHOICE	TRUE	Undergraduate student;Master’s student;PhD student;Industry Professional																		
conf_interest	1	About you	5	Topics you’re interested in	MULTI_CHOICE	TRUE	AI/ML;Security;Systems;Human-Computer Interaction	Select one or more.																	
conf_interest	1	About you	6	Preferred meeting date	DATE	FALSE																			
conf_interest	1	About you	7	Preferred meeting time	TIME	FALSE																			
workshop_signup	1	Attendee info	1	Full name	SHORT_TEXT	TRUE																			
workshop_signup	1	Attendee info	2	University or organization	SHORT_TEXT	TRUE																			
workshop_signup	1	Attendee info	3	Which workshop track are you registering for?	SINGLE_CHOICE	TRUE	Intro to Machine Learning;Advanced Data Engineering;UI Agents and Automation																		
workshop_signup	1	Attendee info	4	Experience level	SINGLE_CHOICE	TRUE	Beginner;Intermediate;Advanced																		
workshop_signup	1	Attendee info	5	Dietary restrictions	MULTI_CHOICE	FALSE	Vegetarian;Vegan;Halal;None;Other	Select all that apply.																	
workshop_signup	1	Attendee info	6	Preferred session date	DATE	FALSE																			
workshop_signup	1	Attendee info	7	May we email you updates?	SINGLE_CHOICE	TRUE	Yes;No																		
course_feedback	1	Course details	1	Course name	SHORT_TEXT	TRUE																			
course_feedback	1	Course details	2	Your program level	SINGLE_CHOICE	TRUE	Bachelor’s;Master’s;PhD;Other																		
course_feedback	1	Course details	3	Did you attend most sessions?	SINGLE_CHOICE	TRUE	Yes;No;Partially																		
course_feedback	2	Ratings and feedback	1	Overall satisfaction	SINGLE_CHOICE	TRUE	1 – Very dissatisfied;2;3;4;5 – Very satisfied																		
course_feedback	2	Ratings and feedback	2	Workload felt	SINGLE_CHOICE	TRUE	Too low;About right;Too high																		
course_feedback	2	Ratings and feedback	3	What did you like most?	PARAGRAPH	FALSE																			
course_feedback	2	Ratings and feedback	4	What should be improved?	PARAGRAPH	FALSE																			
