condition_id,condition_label,interface,task_mode,form_id,answer_run_id,experiment_id,trial_id,success,submit_success,question_total,non_dropdown_total,non_dropdown_correct,dropdown_total,dropdown_confirmed_correct,dropdown_unresolved,correct_lower,correct_upper,full_fill_lower,full_fill_upper,duration_s,stop_reason,failure_category,source_summary,raw_trace_events,model_action_decisions,normalized_model_actions
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,accessibility_feedback,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T135946060137Z,True,False,8,7,7,1,1,0,8,8,True,True,282.968,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/accessibility_feedback/run_0002/trial_20260727T135946060137Z/summary.json,241,12,13
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,alumni_checkin,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T140429266078Z,True,False,7,7,7,0,0,0,7,7,True,True,129.733,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/alumni_checkin/run_0002/trial_20260727T140429266078Z/summary.json,120,7,8
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,bug_report,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T140639156160Z,True,False,9,8,8,1,1,0,9,9,True,True,299.876,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/bug_report/run_0002/trial_20260727T140639156160Z/summary.json,184,10,11
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,club_application,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T141139190874Z,False,False,10,10,3,0,0,0,3,3,False,False,883.134,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/club_application/run_0002/trial_20260727T141139190874Z/summary.json,882,128,16
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,club_event_planning,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T142622508904Z,False,False,10,9,2,1,0,0,2,2,False,False,896.812,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/club_event_planning/run_0002/trial_20260727T142622508904Z/summary.json,924,128,19
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,conf_interest,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T144119490455Z,False,False,7,7,6,0,0,0,6,6,False,False,1598.107,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/conf_interest/run_0002/trial_20260727T144119490455Z/summary.json,1602,128,67
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,conference_travel,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T150757770375Z,False,False,10,9,6,1,0,0,6,6,False,False,689.48,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/conference_travel/run_0002/trial_20260727T150757770375Z/summary.json,747,128,9
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,course_enrollment,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T151927412127Z,True,False,8,7,7,1,1,0,8,8,True,True,256.876,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/course_enrollment/run_0002/trial_20260727T151927412127Z/summary.json,246,15,14
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,course_feedback,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T152344449982Z,False,False,9,9,6,0,0,0,6,6,False,False,797.477,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/course_feedback/run_0002/trial_20260727T152344449982Z/summary.json,833,128,12
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,data_annotation,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T153702168406Z,False,False,9,8,4,1,1,0,5,5,False,False,774.336,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/data_annotation/run_0002/trial_20260727T153702168406Z/summary.json,831,128,14
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,dataset_request,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T154956716445Z,False,False,9,8,4,1,1,0,5,5,False,False,811.044,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/dataset_request/run_0002/trial_20260727T154956716445Z/summary.json,870,128,15
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,equipment_checkout,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T160327974653Z,True,False,9,8,8,1,1,0,9,9,True,True,475.178,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/equipment_checkout/run_0002/trial_20260727T160327974653Z/summary.json,490,60,15
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,event_rsvp,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T161123330505Z,True,False,6,6,6,0,0,0,6,6,True,True,145.214,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/event_rsvp/run_0002/trial_20260727T161123330505Z/summary.json,138,9,10
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,exam_registration,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T161348781196Z,False,False,8,7,5,1,0,0,5,5,False,False,11237.883,timeout,timeout,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/exam_registration/run_0002/trial_20260727T161348781196Z/summary.json,321,23,24
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,experiment_booking,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T192106867141Z,False,False,9,8,4,1,1,0,5,5,False,False,294.934,done_incomplete_fill_only,done_incomplete_fill_only,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/experiment_booking/run_0002/trial_20260727T192106867141Z/summary.json,275,14,14
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,field_trip,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T192601993526Z,False,False,8,7,4,1,0,0,4,4,False,False,11218.358,timeout,timeout,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/field_trip/run_0002/trial_20260727T192601993526Z/summary.json,299,22,23
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,hackathon_signup,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T223300571563Z,False,False,9,9,4,0,0,0,4,4,False,False,629.32,max_steps_exceeded,max_steps_exceeded,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/hackathon_signup/run_0002/trial_20260727T223300571563Z/summary.json,700,128,5
direct_mcp_fill_only,Direct MCP (fill-only),direct_mcp,fill_only_done,housing_preference,run_0002,qwen3vl_direct_mcp_fill_only_50_r2_20260727,trial_20260727T224330155089Z,True,False,7,7,7,0,0,0,7,7,True,True,149.365,filled_without_submit,,data/model_baselines/qwen3vl_direct_mcp_fill_only_50_r2_20260727/vlm_qwen3_vl_30b_a3b_instruct/housing_preference/run_0002/trial_20260727T224330155089Z/summary.json,140,8,9
